epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,907.419,0.77985,1.87368,0.89534,0.1695,0.81818,0.17345,0.12999,0.78536,1.72958,0.82998,0.0011684,0.0011684,0.0011684
44,928.357,0.77336,1.80985,0.86525,0.16442,0.83636,0.17514,0.13194,0.77894,1.7112,0.82481,0.0011486,0.0011486,0.0011486
45,949.203,0.80515,1.83988,0.88112,0.1692,0.83636,0.17512,0.12713,0.81828,1.71232,0.82722,0.0011288,0.0011288,0.0011288
46,969.992,0.7823,1.83738,0.88402,0.1681,0.81818,0.18543,0.14214,0.80738,1.70962,0.82497,0.001109,0.001109,0.001109
47,990.828,0.76934,1.8268,0.87894,0.16768,0.78182,0.1915,0.14995,0.7705,1.71201,0.82206,0.0010892,0.0010892,0.0010892
48,1011.47,0.7751,1.82915,0.87663,0.15682,0.67273,0.18248,0.13907,0.85883,1.76005,0.84252,0.0010694,0.0010694,0.0010694
49,1032.53,0.80186,1.83929,0.89355,0.15775,0.70909,0.17217,0.12421,0.92151,1.77441,0.85377,0.0010496,0.0010496,0.0010496
50,1053.4,0.78238,1.90414,0.8744,0.16022,0.69091,0.16962,0.13072,0.81113,1.76427,0.83323,0.0010298,0.0010298,0.0010298
51,1074.08,0.74147,1.82418,0.88292,0.16511,0.83636,0.17345,0.13463,0.77706,1.7355,0.82718,0.00101,0.00101,0.00101
52,1095.37,0.79128,1.8524,0.86965,0.1613,0.87273,0.18016,0.13319,0.82037,1.73252,0.8342,0.0009902,0.0009902,0.0009902
53,1116.07,0.76945,1.82172,0.8768,0.16141,0.89091,0.17367,0.13186,0.78636,1.7139,0.8319,0.0009704,0.0009704,0.0009704
54,1136.78,0.74408,1.8455,0.85982,0.16471,0.90909,0.1794,0.13989,0.726,1.69102,0.82202,0.0009506,0.0009506,0.0009506
55,1157.4,0.73979,1.79736,0.86263,0.16376,0.92727,0.17801,0.13758,0.73339,1.69415,0.82651,0.0009308,0.0009308,0.0009308
56,1178.39,0.73353,1.77838,0.86261,0.16308,0.93533,0.16506,0.12483,0.78829,1.70782,0.8329,0.000911,0.000911,0.000911
57,1198.99,0.72286,1.80729,0.86565,0.16086,0.90968,0.16681,0.12886,0.76257,1.70736,0.82797,0.0008912,0.0008912,0.0008912
58,1219.69,0.67831,1.77359,0.84874,0.16026,0.89091,0.1661,0.12961,0.72814,1.68966,0.82314,0.0008714,0.0008714,0.0008714
59,1240.5,0.71583,1.76811,0.86021,0.16207,0.92727,0.1666,0.13024,0.75435,1.69375,0.82485,0.0008516,0.0008516,0.0008516
60,1261.04,0.66812,1.76073,0.85238,0.16189,0.90909,0.17356,0.13674,0.73965,1.68448,0.8201,0.0008318,0.0008318,0.0008318
61,1281.77,0.75797,1.84581,0.8578,0.16415,0.90909,0.17651,0.14274,0.7228,1.67581,0.81749,0.000812,0.000812,0.000812
62,1302.73,0.7171,1.77198,0.8499,0.16858,0.92727,0.19164,0.15301,0.69141,1.66535,0.81554,0.0007922,0.0007922,0.0007922
63,1323.32,0.7319,1.79719,0.86747,0.16507,0.92727,0.19533,0.15532,0.68746,1.66409,0.81754,0.0007724,0.0007724,0.0007724
64,1343.91,0.67256,1.7915,0.86075,0.16864,0.90909,0.18385,0.14423,0.70907,1.67722,0.81957,0.0007526,0.0007526,0.0007526
65,1364.83,0.69844,1.78694,0.84592,0.16691,0.89091,0.18838,0.14671,0.72227,1.6805,0.82122,0.0007328,0.0007328,0.0007328
66,1385.83,0.677,1.77994,0.86668,0.16142,0.85455,0.171,0.13386,0.71559,1.67467,0.82178,0.000713,0.000713,0.000713
67,1406.81,0.67534,1.73275,0.85562,0.16322,0.85455,0.17019,0.13311,0.73252,1.67898,0.82806,0.0006932,0.0006932,0.0006932
68,1428.03,0.69058,1.7504,0.8482,0.16388,0.85455,0.17263,0.13151,0.75373,1.67859,0.83075,0.0006734,0.0006734,0.0006734
69,1448.99,0.71288,1.77806,0.87229,0.16373,0.87273,0.16663,0.12639,0.75258,1.68036,0.82673,0.0006536,0.0006536,0.0006536
70,1470.02,0.71361,1.80935,0.86047,0.16013,0.87273,0.17763,0.13991,0.72974,1.70137,0.82303,0.0006338,0.0006338,0.0006338
71,1490.77,0.66462,1.77102,0.85397,0.16007,0.8836,0.19378,0.15654,0.73894,1.71215,0.8242,0.000614,0.000614,0.000614
72,1511.72,0.72608,1.73155,0.87232,0.16608,0.90909,0.21331,0.17188,0.75326,1.69184,0.82275,0.0005942,0.0005942,0.0005942
73,1533.26,0.66645,1.70065,0.84995,0.1671,0.90909,0.21697,0.17346,0.7404,1.66747,0.81846,0.0005744,0.0005744,0.0005744
74,1555.85,0.65945,1.71729,0.84358,0.17095,0.89091,0.2153,0.1714,0.7093,1.62515,0.81361,0.0005546,0.0005546,0.0005546
75,1580.21,0.68035,1.78104,0.8533,0.18922,0.89091,0.22586,0.17713,0.70928,1.60854,0.81442,0.0005348,0.0005348,0.0005348
76,1603.48,0.63837,1.72926,0.84222,0.18568,0.85455,0.23515,0.18041,0.70761,1.6042,0.81473,0.000515,0.000515,0.000515
77,1625.02,0.68449,1.70361,0.87912,0.18628,0.87273,0.22539,0.17349,0.72115,1.60601,0.81689,0.0004952,0.0004952,0.0004952
78,1645.86,0.66455,1.72581,0.84439,0.18333,0.87273,0.21749,0.17126,0.73172,1.61081,0.81913,0.0004754,0.0004754,0.0004754
79,1667.34,0.66334,1.70866,0.8495,0.17491,0.87273,0.21693,0.17232,0.73204,1.6159,0.81973,0.0004556,0.0004556,0.0004556
80,1688.03,0.65163,1.72729,0.86217,0.16858,0.83688,0.19402,0.1557,0.69751,1.61545,0.8149,0.0004358,0.0004358,0.0004358
81,1708.85,0.64658,1.72217,0.85488,0.17852,0.81818,0.19666,0.1587,0.69473,1.612,0.81278,0.000416,0.000416,0.000416
82,1730.09,0.65997,1.72294,0.85956,0.18112,0.81818,0.20912,0.16553,0.70913,1.60574,0.81363,0.0003962,0.0003962,0.0003962
83,1752.34,0.65119,1.82999,0.83951,0.18835,0.76364,0.21828,0.17274,0.7105,1.60585,0.81531,0.0003764,0.0003764,0.0003764
84,1774.31,0.65025,1.74259,0.85299,0.18284,0.8,0.21973,0.17791,0.70831,1.61827,0.81531,0.0003566,0.0003566,0.0003566
85,1795.56,0.65858,1.7525,0.84119,0.17274,0.85455,0.22427,0.18197,0.70002,1.62186,0.81411,0.0003368,0.0003368,0.0003368
86,1816.72,0.6817,1.79038,0.85538,0.16836,0.87273,0.2241,0.18323,0.70231,1.63402,0.81476,0.000317,0.000317,0.000317
87,1838.51,0.66617,1.81176,0.86296,0.17038,0.87273,0.22184,0.18084,0.7091,1.63529,0.81624,0.0002972,0.0002972,0.0002972
88,1859.81,0.62184,1.7174,0.84349,0.16924,0.87273,0.21986,0.17825,0.70175,1.63147,0.81546,0.0002774,0.0002774,0.0002774
89,1880.69,0.64302,1.71417,0.84555,0.1705,0.87273,0.22085,0.17875,0.6958,1.62702,0.81714,0.0002576,0.0002576,0.0002576
90,1902.19,0.60102,1.66789,0.83393,0.16966,0.89091,0.22873,0.18191,0.68523,1.61777,0.81566,0.0002378,0.0002378,0.0002378
91,1923.11,0.60129,1.8057,0.82765,0.16167,0.89091,0.22416,0.17515,0.68605,1.61995,0.81555,0.000218,0.000218,0.000218
92,1944.08,0.61436,1.74153,0.82422,0.16151,0.87273,0.21101,0.16641,0.68804,1.62772,0.81574,0.0001982,0.0001982,0.0001982
93,1965.43,0.55634,1.76452,0.81356,0.16395,0.89091,0.20284,0.15962,0.69101,1.63203,0.81566,0.0001784,0.0001784,0.0001784
94,1986.34,0.58537,1.71625,0.81286,0.16258,0.91779,0.1937,0.15621,0.70233,1.64181,0.81778,0.0001586,0.0001586,0.0001586
95,2007.34,0.57352,1.70133,0.82735,0.16392,0.90909,0.19081,0.15318,0.70808,1.64496,0.81831,0.0001388,0.0001388,0.0001388
96,2028.17,0.59633,1.7548,0.83358,0.16257,0.85455,0.18567,0.14924,0.71735,1.64396,0.81959,0.000119,0.000119,0.000119
97,2049.08,0.57336,1.68876,0.82046,0.16285,0.87273,0.18613,0.14929,0.71591,1.6402,0.81917,9.92e-05,9.92e-05,9.92e-05
98,2070.1,0.57995,1.72797,0.81689,0.16679,0.85455,0.18867,0.15175,0.70859,1.63463,0.81724,7.94e-05,7.94e-05,7.94e-05
99,2091,0.58786,1.69164,0.81172,0.17016,0.85455,0.18776,0.1511,0.70478,1.63292,0.81426,5.96e-05,5.96e-05,5.96e-05
100,2112.53,0.59316,1.72237,0.82629,0.16298,0.87273,0.18582,0.14923,0.70486,1.62842,0.81476,3.98e-05,3.98e-05,3.98e-05
