epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.04,1.15363,3.73042,1.17327,0.012,0.32727,0.00866,0.00578,0.80454,3.50152,0.9036,6e-05,6e-05,6e-05
2,46.4691,1.04691,3.47856,1.07913,0.01733,0.47273,0.01651,0.01292,0.77398,3.40861,0.86338,0.000138614,0.000138614,0.000138614
3,67.5499,1.06445,3.11416,0.99444,0.022,0.6,0.02602,0.01915,0.9012,3.26399,0.84645,0.000215644,0.000215644,0.000215644
4,88.7944,1.08606,2.72045,0.9687,0.02267,0.61818,0.03097,0.02072,0.91843,3.11514,0.85248,0.00029109,0.00029109,0.00029109
5,110.139,0.95408,2.33989,0.91932,0.02333,0.63636,0.0319,0.02376,0.94973,3.0465,0.85708,0.000364952,0.000364952,0.000364952
6,131.056,0.95427,2.33816,0.9357,0.02667,0.72727,0.03302,0.02443,0.9607,2.96271,0.86187,0.00043723,0.00043723,0.00043723
7,152.308,1.03019,2.27274,0.92186,0.02933,0.8,0.04352,0.02675,1.06521,2.89636,0.87802,0.000507924,0.000507924,0.000507924
8,173.572,0.98459,2.31905,0.93176,0.02933,0.8,0.04746,0.02767,1.06398,2.87046,0.88315,0.000577034,0.000577034,0.000577034
9,194.814,1.00333,2.25954,0.93274,0.02667,0.72727,0.05256,0.03631,1.14,2.89949,0.902,0.00064456,0.00064456,0.00064456
10,216.391,0.93969,2.20348,0.94567,0.02267,0.61818,0.05102,0.03438,1.26239,2.94714,0.93014,0.000710502,0.000710502,0.000710502
11,237.481,0.90556,2.08584,0.9069,0.02267,0.61818,0.0392,0.02552,1.32874,2.99017,0.95134,0.00077486,0.00077486,0.00077486
12,258.458,0.91474,2.11535,0.91064,0.024,0.65455,0.05562,0.04069,1.15579,2.93305,0.91164,0.000837634,0.000837634,0.000837634
13,279.811,0.95003,2.19973,0.91153,0.02467,0.67273,0.08144,0.05887,1.11988,2.84377,0.89517,0.000898824,0.000898824,0.000898824
14,300.794,0.90219,2.12346,0.89968,0.02667,0.72727,0.10758,0.07653,1.12168,2.776,0.88582,0.00095843,0.00095843,0.00095843
15,322.154,0.92813,2.17696,0.90157,0.03133,0.85455,0.128,0.0965,0.94059,2.65297,0.84916,0.00101645,0.00101645,0.00101645
16,343.496,0.86272,2.14648,0.90212,0.032,0.87273,0.14141,0.11042,0.96764,2.56916,0.85109,0.00107289,0.00107289,0.00107289
17,364.444,0.88046,2.09439,0.892,0.03124,0.8,0.15709,0.11342,1.05561,2.48675,0.88237,0.00112774,0.00112774,0.00112774
18,385.448,0.99715,2.17167,0.9103,0.14407,0.32727,0.14901,0.10764,1.04925,2.36619,0.88177,0.00118101,0.00118101,0.00118101
19,406.648,0.88133,2.00054,0.89739,0.14158,0.30909,0.13875,0.1071,1.00257,2.32023,0.87334,0.0012327,0.0012327,0.0012327
20,427.697,0.91925,2.07768,0.9087,0.13522,0.34545,0.15626,0.12305,1.0158,2.27763,0.87678,0.0012828,0.0012828,0.0012828
21,449.093,0.87986,2.0145,0.90679,0.16275,0.29091,0.16951,0.12892,1.08216,2.27307,0.88027,0.00133132,0.00133132,0.00133132
22,470.591,0.87598,2.0456,0.89492,0.15321,0.21818,0.14461,0.10432,1.0377,2.3024,0.87233,0.00137825,0.00137825,0.00137825
23,491.592,0.89098,2.06152,0.87823,0.16265,0.23636,0.13609,0.09766,1.01398,2.31476,0.86852,0.0014236,0.0014236,0.0014236
24,512.662,0.8744,1.96141,0.90594,0.16456,0.25455,0.15563,0.1165,0.98465,2.2499,0.85899,0.00146737,0.00146737,0.00146737
25,534.049,0.8784,2.02122,0.89596,0.16237,0.27273,0.16442,0.12225,0.96754,2.18246,0.86964,0.00150955,0.00150955,0.00150955
26,555.391,0.84257,2.00743,0.90708,0.15032,0.27273,0.16588,0.12576,0.90125,2.11283,0.8564,0.001505,0.001505,0.001505
