epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3624,0.95454,3.71864,1.11772,0.006,0.16364,0.01389,0.0073,0.72556,3.48337,0.93515,6e-05,6e-05,6e-05
2,113.93,0.86916,3.35237,1.01828,0.01733,0.47273,0.02706,0.02001,0.72875,3.35024,0.88877,0.000138614,0.000138614,0.000138614
3,168.891,0.85803,2.94236,0.9212,0.012,0.32727,0.01829,0.01528,0.80648,3.16768,0.8792,0.000215644,0.000215644,0.000215644
4,223.269,0.8518,2.5135,0.91639,0.00667,0.18182,0.01502,0.0123,0.82027,3.04354,0.88181,0.00029109,0.00029109,0.00029109
5,277.256,0.79668,2.36396,0.90196,0.00533,0.14545,0.01359,0.00983,0.90292,3.0323,0.9092,0.000364952,0.000364952,0.000364952
6,327.898,0.76875,2.32129,0.90072,0.00667,0.18182,0.01988,0.01431,0.86527,3.01729,0.90349,0.00043723,0.00043723,0.00043723
7,383.383,0.86362,2.32769,0.91106,0.008,0.21818,0.02508,0.01855,0.94276,2.9543,0.90312,0.000507924,0.000507924,0.000507924
8,438.382,0.85792,2.35928,0.90462,0.012,0.32727,0.02865,0.01984,0.89241,2.9115,0.89317,0.000577034,0.000577034,0.000577034
9,490.678,0.80482,2.32104,0.90846,0.01133,0.30909,0.02638,0.0189,0.89747,2.91201,0.90057,0.00064456,0.00064456,0.00064456
10,543.687,0.79239,2.26182,0.9137,0.01,0.27273,0.02099,0.01613,0.90219,2.94452,0.91214,0.000710502,0.000710502,0.000710502
11,593.768,0.76315,2.15675,0.88376,0.01333,0.36364,0.05298,0.04187,0.94406,2.91105,0.92353,0.00077486,0.00077486,0.00077486
12,644.182,0.76037,2.18674,0.89544,0.02333,0.63636,0.09357,0.0737,0.85994,2.79132,0.89606,0.000837634,0.000837634,0.000837634
13,694.656,0.79727,2.20208,0.89248,0.02667,0.72727,0.109,0.0854,0.85191,2.7241,0.88586,0.000898824,0.000898824,0.000898824
14,747.549,0.7683,2.13282,0.88301,0.02867,0.78182,0.12581,0.09776,0.82484,2.67697,0.86904,0.00095843,0.00095843,0.00095843
15,801.82,0.80344,2.19322,0.88048,0.19082,0.46736,0.18877,0.1507,0.85519,2.58527,0.88297,0.00101645,0.00101645,0.00101645
16,854.979,0.7761,2.16501,0.88827,0.17976,0.4,0.19148,0.14911,0.89877,2.53049,0.88969,0.00107289,0.00107289,0.00107289
17,910.882,0.7156,2.09886,0.86505,0.17492,0.36364,0.16035,0.12335,0.89491,2.47458,0.8829,0.00112774,0.00112774,0.00112774
18,963.533,0.81567,2.19181,0.89084,0.1417,0.54545,0.15216,0.12331,0.86278,2.38769,0.89902,0.00118101,0.00118101,0.00118101
19,1013.06,0.76743,2.0266,0.896,0.16124,0.52727,0.15935,0.13096,0.87785,2.38448,0.89782,0.0012327,0.0012327,0.0012327
20,1062.61,0.77804,2.08932,0.87938,0.15757,0.54545,0.18196,0.14485,0.90251,2.34646,0.90165,0.0012828,0.0012828,0.0012828
21,1112.54,0.76099,2.04062,0.8818,0.15377,0.50909,0.16829,0.12578,0.8672,2.26387,0.90063,0.00133132,0.00133132,0.00133132
22,1163.04,0.72949,2.04856,0.86957,0.14782,0.49833,0.14947,0.10922,0.9189,2.26547,0.9073,0.00137825,0.00137825,0.00137825
23,1217.78,0.79378,2.05785,0.88832,0.13632,0.4,0.13277,0.10172,0.84126,2.25545,0.89686,0.0014236,0.0014236,0.0014236
24,1279.96,0.75915,1.99565,0.88682,0.1346,0.40724,0.13539,0.1042,0.86191,2.22657,0.897,0.00146737,0.00146737,0.00146737
25,1332.44,0.75077,2.02446,0.88462,0.13659,0.38182,0.14264,0.11016,0.91337,2.20607,0.91219,0.00150955,0.00150955,0.00150955
26,1384.68,0.78247,1.99978,0.89529,0.13898,0.38182,0.13959,0.11241,0.85262,2.2088,0.89529,0.001505,0.001505,0.001505
27,1434.52,0.76627,2.03163,0.87279,0.13817,0.61818,0.14358,0.11302,0.84424,2.22745,0.8921,0.0014852,0.0014852,0.0014852
28,1483.67,0.70131,1.98392,0.85122,0.14063,0.72727,0.1442,0.11344,0.8809,2.22149,0.90399,0.0014654,0.0014654,0.0014654
29,1533.3,0.75125,2.05656,0.8718,0.14881,0.81818,0.14922,0.11371,0.93456,2.17071,0.92324,0.0014456,0.0014456,0.0014456
